,id,chinese_text,target,text
0,10031080900,毛新宇 深情演唱新作《献给爷爷奶奶的歌》 http://t.cn/h1R0Rj,false,Mao Xinyu affectionately sings the new work &quot;Songs for Grandparents&quot; http://t.cn/h1R0Rj
1,10031994215,如果没有人相信你，那就自己相信自己；如果没人欣赏你，那就自己欣赏自己；如果没人祝福你，那就自己祝福自己。用心去触摸属于自己的阳光，用爱去创造属于自己的时空。当自己读懂了自己，世界才能读懂你。,false,"If no one believes in you, then believe in yourself; if no one appreciates you, then appreciate yourself; if no one bless you, then bless yourself. Touch your own sunshine with your heart and create your own time and space with love. Only when you understand yourself can the world understand you."
2,10276391917,看了新闻感慨：大运会火炬，怎么跟烤土豆片儿似的，中间还有彩椒和洋葱 ~,false,"After reading the news, I sighed: Why does the Universiade torch look like baked potato slices, with colored peppers and onions in the middle~"
3,10313557537,浮躁风气较盛的今天，并不是没有认真做事的人。但是，“认真”的利益选择性和目的导向性，使很多表面光鲜、有好处的事做得一丝不苟、精益求精；而涉及他人利益、默默无闻的辛苦事大多敷衍了事、得过且过。到底有没有一个让人“认真”的普国价值？,false,"Today, when impetuousness is prevalent, it does not mean that there are no people who work seriously. However, the &quot;serious&quot; interest selectivity and goal-oriented nature make many superficially glamorous and beneficial things done meticulously and strive for excellence; while the hard work that involves the interests of others and is obscure is mostly done perfunctorily and muddle along. Is there a universal national value that makes people &quot;serious&quot;?"
4,10402071863,[心] 女孩身上某个器官，爸爸碰两次，男朋友碰一次，老公一次都不能碰。大家猜猜是答案是什么~~,false,"[Heart] A girl&#39;s father can touch a certain organ on her body twice, her boyfriend can touch it once, and her husband can&#39;t touch it even once. Everyone, guess what the answer is~~"
5,10826063736,不要去在意所经历的事情是否值得，最重要的是自己是否愿意。晚安。[月亮],false,"Don&#39;t worry about whether what you are going through is worth it, the most important thing is whether you are willing to do it. Good night. [moon]"
6,10898255329,【夜宴紫禁城】夜宴紫禁城——这是故宫最新最时尚的用途。只不过，这一时尚与普通人无关，夜宴的朱漆大门只向“拥有尊荣地位的高端人群”打开。 http://t.cn/hejQWN,false,"[Night Banquet in the Forbidden City] Night banquet in the Forbidden City - This is the latest and most fashionable use of the Forbidden City. However, this fashion has nothing to do with ordinary people, and the vermilion door of the night banquet is only open to &quot;high-end people with honorable status.&quot; http://t.cn/hejQWN"
7,10932789204,徐冰说：素描《大卫》的练习使他从一个粗糙的人变成了一个精致的人。在画的过程中，徐冰试图展现出自己的所有绘画能力，直到没有什么可以施展时为止，也就是把自己逼到画不下去的境地。他正是在这个“死地”发现了自己的擅长，也发现了自己的不擅长。并在这一过程中，学会了处理问题、控制问题的方法。,false,"Xu Bing said: The practice of sketching &quot;David&quot; transformed him from a rough person into a refined person. In the process of painting, Xu Bing tried to demonstrate all his painting abilities until there was nothing left to display, that is, he pushed himself to the point where he could no longer paint. It was in this &quot;death place&quot; that he discovered what he was good at and what he was not good at. And in the process, I learned how to deal with and control problems."
8,11084174628,【6类杀精食物 吃傻下一代】一、炸鸡，含致癌物丙烯酰胺；二、啤酒，使尿酸沉积，肾小管阻塞肾脏衰竭；三、咖啡，压抑副交感神经减低性欲；四、豆腐，植物雌激素减少精子数；五、奶茶，反式脂肪酸减少男性荷尔蒙；六、腰子，含有重金属镉。不是吃啥补啥！！http://t.cn/heDXfi,true,"[6 types of spermicidal foods will make the next generation stupid] 1. Fried chicken, which contains the carcinogen acrylamide; 2. Beer, which can cause uric acid deposition and renal tubule obstruction and kidney failure; 3. Coffee, which suppresses parasympathetic nerves and reduces sexual desire; 4. Tofu, Phytoestrogens reduce sperm count; 5. Milk tea, trans fatty acids reduce male hormones; 6. Kidneys, contain heavy metal cadmium. It’s not just what you eat to supplement it! ! http://t.cn/heDXfi"
9,11151379535,"【爱鱼生的各位，要小心啦！】原来，日本人从来都不用三文鱼做刺身吃的。蔡澜：""正统的日本铺子，绝对不会卖三文鱼刺身，因为他们老早知道它的虫极多，只能用盐腌制过后烧熟来吃......三文鱼鱼肉颜色一直保持鲜红，即使腐坏了也不变，又闻不出异味......"" --- 爱鱼生的各位，要小心啦！via实用小百科",true,"【Everyone who loves Yu Sheng, be careful! 】It turns out that Japanese people never use salmon to make sashimi. Chua Lam: &quot;Orthodox Japanese shops will never sell salmon sashimi, because they have known for a long time that it is full of worms and can only be eaten after being salted and cooked... The color of salmon meat has always remained bright red. , even if it goes bad, it will not change, and there is no smell...&quot; --- Yu Sang lovers, be careful! viaPractical Encyclopedia"
10,11182712820,我该怎么办，ML的时候，老婆要我叫她观世音菩萨！[汗],false,"What should I do? When I was having sex, my wife asked me to call her Guanyin Bodhisattva! [sweat]"
11,11222430092,"《单身男女》据知情人称:其实大家看到的是删减版结局,因为导演不想得罪吴彦祖的粉丝而影响影片票房。真正的结局是：高圆圆在所有人离开后,对吴彦祖说:对不起,我不想骗你,其实我爱的是他,刚才太多人我不想你难堪.然后戴上古仔的戒指离去,在门口发现在一直在等的伤心的古仔,俩人相拥而泣。你觉得怎么样？",true,"According to an insider of &quot;Single Man and Woman&quot;: In fact, what everyone saw was the deleted version of the ending, because the director did not want to offend Daniel Wu&#39;s fans and affect the film&#39;s box office. The real ending is: After everyone left, Gao Yuanyuan said to Daniel Wu: I&#39;m sorry, I don&#39;t want to lie to you. In fact, I love him. There were too many people just now and I don&#39;t want you to be embarrassed. Then she put on Goo Jai&#39;s ring and left at the door. They found the sad Goo Jai who had been waiting, and the two hugged each other and cried. what do you think?"
12,11250977112,【水知道答案】王岳川：日本科学家江本胜把一杯水放在巴赫、莫扎特、贝多芬的音乐中“听”了20分钟，用摄像仪把分子结构拍出来，水分子结构像钻石般瑰丽。他又把这杯水搁到重金属摇滚音乐中“听”了20分钟，拍出的分子结构近似于癌细胞结构。您知道您身上有多少水吗？70%。人的大脑里有多少水？90%。,true,"[Water Knows the Answer] Wang Yuechuan: Japanese scientist Masaru Emoto put a glass of water to the music of Bach, Mozart, and Beethoven and &quot;listened&quot; to it for 20 minutes. He used a camera to take pictures of the molecular structure. The water molecular structure was as magnificent as a diamond. He put the glass of water to &quot;listen&quot; to heavy metal rock music for 20 minutes, and the molecular structure he photographed was similar to the structure of cancer cells. Do you know how much water you have on your body? 70%. How much water is there in the human brain? 90%."
13,11360556282,继FBI 承认罗斯威尔事件 是飞碟坠毁后，罗斯威尔飞碟坠毁事件幸存外星人视频又被曝光 http://t.cn/hgo3Ce,true,"After the FBI admitted that the Roswell incident was a UFO crash, the video of the aliens who survived the Roswell UFO crash was exposed again http://t.cn/hgo3Ce"
14,11438101888,#猫哥# 哎呀喂 ~ 在截 Taxi 吗 ? !,false,#猫哥# Hey~ Are you taking a Taxi?!
